can,y,task,scaffold
CCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCC.[Br-].[Br-],1,binary,acyclic
CCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCC.[Br-].[Br-],1,binary,acyclic
CCCCCCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCCCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCCCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCCCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCCCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCCCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCCCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CCCCCCCCCCCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCCCCCCCCCCCC.[Br-].[Br-],0,binary,acyclic
