can,y,task,scaffold
CCCCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1nc(C)c2c(c1CO)COC(C)(C)O2.[Cl-],1.8078235133637641,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1nc(C)c2c(c1CO)COC(CCC)O2.[Cl-],1.7728257645542416,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)OCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],0.9236050900331204,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)OCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],0.8857209388129246,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)OCC[N+](C)(C)Cc1nc(C)c2c(c1CO)COC(C)(C)O2.[Cl-],0.8436914105496947,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)OCC[N+](C)(C)Cc1nc(C)c2c(c1CO)COC(CCC)O2.[Cl-],1.8078235133637641,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCC(C(=O)OCC)[N+](C)(C)C.[Br-],2.232660756790275,reg,acyclic
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],2.815308381873709,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],1.7801307904066195,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],1.8513652003491095,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],4.815308381873709,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCC(=O)NCC[n+]1ccccc1.[Cl-],5.739508895587361,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],4.812812487555693,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],5.777694967409828,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],5.261972816258731,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],0.8488061968801023,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],2.812812487555693,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],5.6060227846881405,reg,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],5.348710638964737,reg,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],5.17630932678534,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],3.7457905656663577,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],6.7122487674650415,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],3.7801307904066195,reg,c1cc2c(cn1)OCOC2
